fid,CD_MUN,NM_MUN,SIGLA,tot_13_22,porcent_13,porcent_22,normal_13_22,tot_13,tot_22,subt_13_22
205,"1503309",Igarapé-Miri,PA,38249,65.6644618159952,34.3355381840048,0.313289236319904,25116,13133,11983
206,"1503408",Inhangapi,PA,6918,63.732292570107,36.267707429893,0.274645851402139,4409,2509,1900
207,"1503457",Ipixuna do Pará,PA,16365,67.6871371830125,32.3128628169875,0.35374274366025,11077,5288,5789
208,"1503507",Irituia,PA,19248,76.0390689941812,23.9609310058188,0.520781379883624,14636,4612,10024
209,"1503606",Itaituba,PA,55803,38.9584789348243,61.0415210651757,-0.220830421303514,21740,34063,-12323
210,"1503705",Itupiranga,PA,22794,62.8323242958673,37.1676757041327,0.256646485917347,14322,8472,5850
211,"1503754",Jacareacanga,PA,8368,52.3661567877629,47.6338432122371,0.0473231357552581,4382,3986,396
212,"1503804",Jacundá,PA,22936,58.0266829438437,41.9733170561563,0.160533658876875,13309,9627,3682
213,"1503903",Juruti,PA,27162,60.293792798763,39.706207201237,0.20587585597526,16377,10785,5592
214,"1504000",Limoeiro do Ajuru,PA,16785,74.524873398868,25.475126601132,0.490497467977361,12509,4276,8233
215,"1504059",Mãe do Rio,PA,17741,56.3835184036977,43.6164815963023,0.127670368073953,10003,7738,2265
216,"1504109",Magalhães Barata,PA,6172,70.5767984445885,29.4232015554115,0.411535968891769,4356,1816,2540
217,"1504208",Marabá,PA,130851,47.7367387333685,52.2632612666315,-0.0452652253326302,62464,68387,-5923
218,"1504307",Maracanã,PA,19260,70,30,0.4,13482,5778,7704
219,"1504406",Marapanim,PA,17366,69.2041920995048,30.7958079004952,0.384083841990096,12018,5348,6670
220,"1504422",Marituba,PA,61663,55.3184243387445,44.6815756612555,0.106368486774889,34111,27552,6559
221,"1504455",Medicilândia,PA,14183,33.6177113445674,66.3822886554326,-0.327645773108651,4768,9415,-4647
222,"1504505",Melgaço,PA,11899,67.5855113875116,32.4144886124884,0.351710227750231,8042,3857,4185
223,"1504604",Mocajuba,PA,20396,75.9315552069033,24.0684447930967,0.518631104138066,15487,4909,10578
224,"1504703",Moju,PA,41109,73.5872923204165,26.4127076795835,0.471745846408329,30251,10858,19393
225,"1504752",Mojuí dos Campos,PA,14825,41.8954468802698,58.1045531197302,-0.162091062394604,6211,8614,-2403
226,"1504802",Monte Alegre,PA,48518,54.1510367286368,45.8489632713632,0.0830207345727358,26273,22245,4028
227,"1504901",Muaná,PA,20468,76.7539573969123,23.2460426030877,0.535079147938245,15710,4758,10952
228,"1504950",Nova Esperança do Piriá,PA,11332,58.6216025414755,41.3783974585245,0.172432050829509,6643,4689,1954
229,"1504976",Nova Ipixuna,PA,7570,55.5482166446499,44.4517833553501,0.110964332892999,4205,3365,840
230,"1505007",Nova Timboteua,PA,8568,74.1363211951447,25.8636788048553,0.482726423902894,6352,2216,4136
231,"1505031",Novo Progresso,PA,15654,18.0784464034752,81.9215535965249,-0.638431071930497,2830,12824,-9994
232,"1505064",Novo Repartimento,PA,31226,45.2827771728688,54.7172228271312,-0.0943444565426248,14140,17086,-2946
233,"1505106",Óbidos,PA,27562,71.7001668964516,28.2998331035484,0.434003337929033,19762,7800,11962
234,"1505205",Oeiras do Pará,PA,18034,81.5847842963292,18.4152157036708,0.631695685926583,14713,3321,11392
235,"1505304",Oriximiná,PA,33422,59.3920172341571,40.6079827658429,0.187840344683143,19850,13572,6278
236,"1505403",Ourém,PA,11748,76.0895471569629,23.9104528430371,0.521790943139258,8939,2809,6130
237,"1505437",Ourilândia do Norte,PA,16101,40.3453201664493,59.6546798335507,-0.193093596671014,6496,9605,-3109
238,"1505486",Pacajá,PA,19673,41.4883342652366,58.5116657347634,-0.170233314695268,8162,11511,-3349
239,"1505494",Palestina do Pará,PA,4338,61.1111111111111,38.8888888888889,0.222222222222222,2651,1687,964
240,"1505502",Paragominas,PA,52068,42.9438426672812,57.0561573327187,-0.141123146654375,22360,29708,-7348
241,"1505536",Parauapebas,PA,132041,41.3848728803932,58.6151271196068,-0.172302542392136,54645,77396,-22751
242,"1505551",Pau D'Arco,PA,7663,50.5285136369568,49.4714863630432,0.0105702727391362,3872,3791,81
243,"1505601",Peixe-Boi,PA,6603,70.5891261547781,29.4108738452219,0.411782523095563,4661,1942,2719
244,"1505635",Piçarra,PA,6870,48.3551673944687,51.6448326055313,-0.0328966521106259,3322,3548,-226
245,"1505650",Placas,PA,9770,36.9191402251791,63.0808597748209,-0.261617195496418,3607,6163,-2556
246,"1505700",Ponta de Pedras,PA,15963,77.0281275449477,22.9718724550523,0.540562550898954,12296,3667,8629
247,"1505809",Portel,PA,24688,68.1424173687622,31.8575826312378,0.362848347375243,16823,7865,8958
248,"1505908",Porto de Moz,PA,16304,67.1184985279686,32.8815014720314,0.342369970559372,10943,5361,5582
249,"1506005",Prainha,PA,19224,58.6662505201831,41.3337494798169,0.173325010403662,11278,7946,3332
250,"1506104",Primavera,PA,15626,74.8112120824267,25.1887879175733,0.496224241648534,11690,3936,7754
251,"1506112",Quatipuru,PA,6932,75.865551067513,24.134448932487,0.51731102135026,5259,1673,3586
252,"1506138",Redenção,PA,61750,44.3951417004049,55.6048582995951,-0.112097165991903,27414,34336,-6922
253,"1506161",Rio Maria,PA,9962,43.6057016663321,56.3942983336679,-0.127885966673359,4344,5618,-1274
254,"1506187",Rondon do Pará,PA,19465,48.338042640637,51.661957359363,-0.0332391471872592,9409,10056,-647
255,"1506195",Rurópolis,PA,13131,40.8118193587693,59.1881806412307,-0.183763612824614,5359,7772,-2413
256,"1506203",Salinópolis,PA,25208,66.514598540146,33.485401459854,0.33029197080292,16767,8441,8326
257,"1506302",Salvaterra,PA,14075,72.3978685612789,27.6021314387211,0.447957371225577,10190,3885,6305
258,"1506351",Santa Bárbara do Pará,PA,12304,57.9242522756827,42.0757477243173,0.158485045513654,7127,5177,1950
259,"1506401",Santa Cruz do Arari,PA,4361,73.3776656730108,26.6223343269892,0.467553313460216,3200,1161,2039
260,"1506500",Santa Isabel do Pará,PA,34826,55.8892781255384,44.1107218744616,0.117785562510768,19464,15362,4102
261,"1506559",Santa Luzia do Pará,PA,12634,75.700490739275,24.299509260725,0.514009814785499,9564,3070,6494
262,"1506583",Santa Maria das Barreiras,PA,8805,39.3753549119818,60.6246450880182,-0.212492901760363,3467,5338,-1871
263,"1506609",Santa Maria do Pará,PA,15686,57.2357516256534,42.7642483743466,0.144715032513069,8978,6708,2270
264,"1506708",Santana do Araguaia,PA,16048,38.4596211365902,61.5403788634098,-0.230807577268195,6172,9876,-3704
265,"1506807",Santarém,PA,171116,45.8051847869282,54.1948152130718,-0.0838963042614367,78380,92736,-14356
266,"1506906",Santarém Novo,PA,4926,76.4717823792123,23.5282176207877,0.529435647584247,3767,1159,2608
267,"1507003",Santo Antônio do Tauá,PA,18388,65.4067870350228,34.5932129649772,0.308135740700457,12027,6361,5666
268,"1507102",São Caetano de Odivelas,PA,11191,75.7573049772138,24.2426950227862,0.515146099544277,8478,2713,5765
269,"1507151",São Domingos do Araguaia,PA,11239,59.32912180799,40.67087819201,0.186582436159801,6668,4571,2097
270,"1507201",São Domingos do Capim,PA,17375,77.2776978417266,22.7223021582734,0.545553956834532,13427,3948,9479
271,"1507300",São Félix do Xingu,PA,28484,34.3280438140711,65.6719561859289,-0.313439123718579,9778,18706,-8928
272,"1507409",São Francisco do Pará,PA,11519,64.2590502647799,35.7409497352201,0.285181005295599,7402,4117,3285
273,"1507458",São Geraldo do Araguaia,PA,14234,44.9838415062526,55.0161584937474,-0.100323169874947,6403,7831,-1428
274,"1507466",São João da Ponta,PA,4468,71.2175470008953,28.7824529991047,0.424350940017905,3182,1286,1896
275,"1507474",São João de Pirabas,PA,12594,71.8913768461172,28.1086231538828,0.437827536922344,9054,3540,5514
276,"1507508",São João do Araguaia,PA,8110,61.9482120838471,38.0517879161529,0.238964241676942,5024,3086,1938
277,"1507607",São Miguel do Guamá,PA,29605,69.0829251815572,30.9170748184428,0.381658503631143,20452,9153,11299
278,"1507706",São Sebastião da Boa Vista,PA,16688,76.366251198466,23.633748801534,0.527325023969319,12744,3944,8800
279,"1507755",Sapucaia,PA,15199,46.4175274689124,53.5824725310876,-0.0716494506217514,7055,8144,-1089
280,"1507805",Senador José Porfírio,PA,8949,54.5424069728461,45.4575930271539,0.0908481394569225,4881,4068,813
281,"1507904",Soure,PA,15599,77.5754856080518,22.4245143919482,0.551509712161036,12101,3498,8603
282,"1507953",Tailândia,PA,37261,55.3313115590027,44.6686884409973,0.106626231180054,20617,16644,3973
283,"1507961",Terra Alta,PA,7832,68.0796731358529,31.9203268641471,0.361593462717058,5332,2500,2832
284,"1507979",Terra Santa,PA,10190,60,40,0.2,6114,4076,2038
285,"1508001",Tomé-Açu,PA,36411,61.9730301282579,38.0269698717421,0.239460602565159,22565,13846,8719
286,"1508035",Tracuateua,PA,17988,79.6419835445853,20.3580164554147,0.592839670891706,14326,3662,10664
287,"1508050",Trairão,PA,8070,33.729863692689,66.270136307311,-0.325402726146221,2722,5348,-2626
288,"1508084",Tucumã,PA,19216,35.7098251457119,64.2901748542881,-0.285803497085762,6862,12354,-5492
289,"1508100",Tucuruí,PA,50744,58.7990698407693,41.2009301592306,0.175981396815387,29837,20907,8930
290,"1508126",Ulianópolis,PA,14113,52.4976971586481,47.5023028413519,0.0499539431729611,7409,6704,705
291,"1508159",Uruará,PA,20822,27.518970319854,72.481029680146,-0.44962059360292,5730,15092,-9362
292,"1508209",Vigia,PA,27878,71.5115861970012,28.4884138029988,0.430231723940024,19936,7942,11994
293,"1508308",Viseu,PA,31309,81.5931521287809,18.4068478712191,0.631863042575617,25546,5763,19783
294,"1508357",Vitória do Xingu,PA,10766,50.6594835593535,49.3405164406465,0.0131896711870704,5454,5312,142
295,"1508407",Xinguara,PA,24998,38.4550764061125,61.5449235938875,-0.23089847187775,9613,15385,-5772
296,"1600055",Serra do Navio,AP,2792,42.012893982808,57.987106017192,-0.15974212034384,1173,1619,-446
297,"1600105",Amapá,AP,4926,64.1291108404385,35.8708891595615,0.28258221680877,3159,1767,1392
298,"1600154",Pedra Branca do Amapari,AP,7017,57.7169730654126,42.2830269345874,0.154339461308251,4050,2967,1083
299,"1600204",Calçoene,AP,5673,62.682883835713,37.317116164287,0.25365767671426,3556,2117,1439
300,"1600212",Cutias,AP,3791,61.0920601424426,38.9079398575574,0.221841202848853,2316,1475,841
301,"1600238",Ferreira Gomes,AP,4500,55.3555555555556,44.6444444444444,0.107111111111111,2491,2009,482
302,"1600253",Itaubal,AP,5399,56.047416188183,43.952583811817,0.12094832376366,3026,2373,653
303,"1600279",Laranjal do Jari,AP,19396,62.8892555166014,37.1107444833986,0.257785110332027,12198,7198,5000
304,"1600303",Macapá,AP,214862,47.0669546034199,52.9330453965801,-0.0586609079316026,101129,113733,-12604
305,"1600402",Mazagão,AP,14732,66.5761607385284,33.4238392614716,0.331523214770567,9808,4924,4884
