fid,CD_MUN,NM_MUN,SIGLA,porcent_nulo_e_branco,13_Soma - QT_VOTOS,22_Soma - QT_VOTOS,branco_Soma - QT_VOTOS,nulo_Soma - QT_VOTOS,porcent_13,porcent_22,normal_13_22,subt_13_22
31,"1100700",Campo Novo de Rondônia,RO,2.94593138135441,1499,3904,48,116,27.7438460114751,72.2561539885249,-0.445123079770498,-2405
32,"1100809",Candeias do Jamari,RO,2.74075183465628,4887,8101,103,263,37.6270403449338,62.3729596550662,-0.247459193101324,-3214
33,"1100908",Castanheiras,RO,3.0170529077394,862,1356,26,43,38.8638412984671,61.1361587015329,-0.222723174030658,-494
34,"1100924",Chupinguaia,RO,2.60355029585799,1586,3352,35,97,32.1182665046578,67.8817334953422,-0.357634669906845,-1766
35,"1100940",Cujubim,RO,2.40527608948662,1729,5818,63,123,22.9097654697231,77.0902345302769,-0.541804690605539,-4089
36,"1101005",Governador Jorge Teixeira,RO,3.04111131969213,1540,3625,59,103,29.8160696999032,70.1839303000968,-0.403678606001936,-2085
37,"1101104",Itapuã do Oeste,RO,2.90530051009093,1642,2736,31,100,37.505710370032,62.494289629968,-0.24988579259936,-1094
38,"1101203",Ministro Andreazza,RO,3.0936633240879,1569,2973,34,111,34.5442536327609,65.4557463672391,-0.309114927344782,-1404
39,"1101302",Mirante da Serra,RO,2.91009342931536,2353,3986,64,126,37.1194194667929,62.8805805332071,-0.257611610664143,-1633
40,"1101401",Monte Negro,RO,2.68373245251858,1763,5308,58,137,24.9328242115684,75.0671757884316,-0.501343515768632,-3545
41,"1101435",Nova União,RO,3.37320574162679,1754,2285,38,103,43.4265907402823,56.5734092597178,-0.131468185194355,-531
42,"1101450",Parecis,RO,3.51023819473464,904,1405,25,59,39.1511476829796,60.8488523170204,-0.216977046340407,-501
43,"1101468",Pimenteiras do Oeste,RO,1.97682344921609,495,943,14,15,34.42280945758,65.57719054242,-0.311543810848401,-448
44,"1101476",Primavera de Rondônia,RO,3.82249560632689,559,1630,29,58,25.5367747830059,74.4632252169941,-0.489264504339881,-1071
45,"1101484",São Felipe D'Oeste,RO,4.80497456189938,1075,2293,60,110,31.9180522565321,68.0819477434679,-0.361638954869359,-1218
46,"1101492",São Francisco do Guaporé,RO,2.33855395837803,2574,6530,77,141,28.2732864674868,71.7267135325132,-0.434534270650264,-3956
47,"1101500",Seringueiras,RO,3.19063004846527,2468,4723,79,158,34.3206786260603,65.6793213739396,-0.313586427478793,-2255
48,"1101559",Teixeirópolis,RO,2.60756192959583,1100,1888,34,46,36.813922356091,63.186077643909,-0.263721552878179,-788
49,"1101609",Theobroma,RO,2.65948200938641,1784,3816,50,103,31.8571428571429,68.1428571428571,-0.362857142857143,-2032
50,"1101708",Urupá,RO,3.4965034965035,2222,4402,98,142,33.5446859903382,66.4553140096618,-0.329106280193237,-2180
51,"1101757",Vale do Anari,RO,3.17561807331628,1312,3231,51,98,28.8795949812899,71.1204050187101,-0.422408100374202,-1919
52,"1101807",Vale do Paraíso,RO,2.64989894453178,1527,2808,34,84,35.2249134948097,64.7750865051903,-0.295501730103806,-1281
53,"1200013",Acrelândia,AC,2.06647398843931,1460,5317,51,92,21.543455806404,78.456544193596,-0.56913088387192,-3857
54,"1200054",Assis Brasil,AC,2.05988532597154,1895,2717,30,67,41.0884648742411,58.9115351257589,-0.178230702515178,-822
55,"1200104",Brasiléia,AC,1.76875679594056,3958,9593,99,145,29.2081765183381,70.7918234816619,-0.415836469633237,-5635
56,"1200138",Bujari,AC,2.84837861524978,1958,4693,88,107,29.439182077883,70.560817922117,-0.411216358442339,-2735
